Bacteroidetes,Bacteroidetes.1,Firmicutes,Actinobacteria,Actinobacteria.1,Bacteroidetes.2,Bacteroidetes.3,Firmicutes.1,Firmicutes.2,Bacteroidetes.4,Bacteroidetes.5,Bacteroidetes.6,Firmicutes.3,Firmicutes.4,Bacteroidetes.7,Bacteroidetes.8,Bacteroidetes.9
0,0,0,0,0,4.391744e-5,0,0,0,0,4.391744e-5,0,0,0,0,1.756697e-4,0
0,0,0,1.725129e-4,0,0,0,0,0,0,0,0,0,1.150086e-4,0,0,0
0,4.467876e-5,0,0,0,0,0,0,0,0,0,2.233938e-4,0,8.935752e-5,0,0,0
0,3.020236e-5,0,0,0,0,0,0,0,0,0,6.040471e-5,0,3.020236e-5,0,0,0
8.174832e-5,0,0,0,0,0,2.724944e-5,0,0,8.174832e-5,0,0,1.362472e-5,0,0,0,0
6.916203e-5,1.383241e-5,1.383241e-5,0,0,0,0,0,0,0,0,0,2.766481e-5,0,2.766481e-5,0,2.766481e-5
5.744733e-5,0,5.744733e-5,0,0,0,1.436183e-5,0,0,0,0,0,1.436183e-5,0,0,0,7.180916e-5
0,2.412022e-5,0,0,0,0,0,0,7.236065e-5,0,0,0,0,0,4.824043e-5,1.206011e-4,0
0,5.490885e-5,1.830295e-5,0,0,0,9.151475e-5,0,0,0,0,0,1.830295e-5,0,1.830295e-5,0,9.151475e-5
3.794778e-5,0,3.794778e-5,0,0,0,7.589557e-5,0,0,0,0,0,0,0,0,0,0
