"","Ctrl 1","Ctrl 2","Ctrl 3","Ctrl 4","Ctrl 5","Ctrl 6","Ctrl 7","Ctrl 8","Ctrl 9","Ctrl 10","HFD 11","HFD 12","HFD 13","HFD 14","HFD 15","HFD 16","HFD 17","HFD 18","HFD 19","HFD 20","Met 21","Met 22","Met 23","Met 24","Met 25","Met 26","Met 27","Met 28","Met 29","Met 30","Met 31"
"Acetatifactor",0,0.00673264341,6.995942e-05,0.04933009,0.0747035334,0.0016242091,0.006614604,0.0053304352,0.02292407039,0,0,0.0099146693,0.0001544481,0.014334509,0.0064555242,0.005201765,0.0143109987,0.00483429105,0.02202244,0.016585572,0.0085379994,0.017576697,0.0062379242,0.0110208227,0.02634959,0.00203742403,0.0459530338,0.039310845,0.019789454,0.0321309175,0.00968824963
"Akkermansia",0.43619938156,0.4226482066,0.4203162328,0.02112808155,0.0005464779,0.3853649878,0.435496941,0.3831703152,0.371160358,0.33752705246,0.001245211,0.28793171,0.491711285,0.4779103137,0.6049289905,0.2113808048,0.3441213653,0.477950219,0.00977434547,0.478784094,0.3256034574,0.1954894044,0.04388628007,0.1643981716,0.0372437001,0.2805211957,0.3344032624,0.247714941,0.2160574747,0.008122312,0.20330934896
"Alistipes",0.05195444,0.004194106,0.05467329,0.02272088,0.003552107,0.008804924,0.01062604,0.0013455468,0.01353568,0.002604512,0.0004789272,0,0,0.0008959068,0,0,0,0,0.0003620128,0,0,0,5.520287e-05,0,0,0,0,0,0,0,0.0001438849
"Anaeroplasma",0.000738189,0.0072845,0.01161326,0.03518224,0.00371605,0.004573431,0.0006827978,0.0001035036,0.004967642,0.001677482,0,0.08809427,0,0.004479534,0.03545189,0.02033417,0.0053097345,0.01863888,0,0.01041176,0.0007905555,0.000182615,0,0.0019807009,0.0003985652,0.005361643,0.003370246,0,0.004653685,0,0.004508393
"Anaerovorax",0,0,0.0001399188,0.0007027078,0.002131264,0.0001709694,0.0006827978,0.0001035036,0.001276092,0,0,0.006501422,0.0015959638,0,0,0,0,0,0.00386147,0,0,0,0,0,4.428502e-05,0,0,0,0,0,0
"Bacteria",3.515186e-05,0.0001471616,0.001014412,9.369437e-05,0,0.001025816,0.0002560492,0,0,0.0001324328,0,0,0,0.00442354,0,0,0,0.001342859,0,0.01988176,0.0298302941,0.03592951,0.03510903,0.0165058405,0,0,0.0001069919,0,0.027922103,0,0.02153477
"Bacteroidales",7.030371e-05,0,3.497971e-05,0.0002810831,0,8.54847e-05,0,0,0,0,0.0005747126,0,0,0.0003359651,0,5.254309e-05,0,0.002363431,0.0004223483,0,0.0012121851,0,0,5.07872e-05,0.0001328551,0,0,8.088652e-05,0.008720011,0,4.796163e-05
"Bacteroides",0.3162612,0.0001103712,0,0.07294107,5.464779e-05,4.274235e-05,4.267486e-05,0.0001035036,0.0006380458,0.4185318,0.0002873563,0,0,0,0,0,0,5.371435e-05,0,0,0.2011700221,0,0.0004968258,0.0001523616,0.0001328551,0.001286794,0.0003209758,0.2405565,0.0006325396,0.0003583373,0
"Barnesiella",3.515186e-05,0.0005150657,0.001679026,9.369437e-05,5.464779e-05,0.01855018,0.03213417,0.0008797806,0.1421931,0,0.0002873563,0.2494921,0,5.599418e-05,3.566588e-05,0.0001576293,0,5.371435e-05,0.0003016773,0,0.0001054074,9.130752e-05,0.0001104057,5.07872e-05,0,0,0,0,0,0,0.001342926
"Bifidobacterium",0.0001757593,0.0002207424,0.0008045334,0.0001405416,0.0004371824,0.0008975893,0.0005120983,5.17518e-05,0.0001367241,0,0,8.126778e-05,5.14827e-05,0.0001679825,0,0,0,0,6.033547e-05,0,0.0002108148,0.0004565376,0.0005520287,5.07872e-05,0.004251362,0.00225189,5.349596e-05,8.088652e-05,0.0019428,0,0.001247002
