Sample			Group
4WKHFDCtrl1		Ctrl
4WKHFDCtrl10	Ctrl
4WKHFDCtrl11	Ctrl
4WKHFDCtrl12	Ctrl
4WKHFDCtrl2		Ctrl
4WKHFDCtrl4		Ctrl
4WKHFDCtrl5		Ctrl
4WKHFDCtrl6		Ctrl
4WKHFDCtrl7		Ctrl
4WKHFDCtrl8		Ctrl
4WKHFDCtrl9		Ctrl
4WKHFDHFD1		HFD
4WKHFDHFD10		HFD
4WKHFDHFD12		HFD
4WKHFDHFD2		HFD
4WKHFDHFD3		HFD
4WKHFDHFD4		HFD
4WKHFDHFD5		HFD
4WKHFDHFD6		HFD
4WKHFDHFD8		HFD
4WKHFDHFD9		HFD
4WKHFDMet1		Met
4WKHFDMet10		Met
4WKHFDMet11		Met	
4WKHFDMet12		Met
4WKHFDMet2		Met
4WKHFDMet3		Met
4WKHFDMet4		Met
4WKHFDMet5		Met
4WKHFDMet6		Met
4WKHFDMet7		Met
4WKHFDMet8		Met
4WKHFDMet9		Met
